iteration,exploitability
0,0.8000000000000002
1,0.8164790628418455
2,0.8651036493326754
3,0.7660617509627652
4,0.6893556343920488
5,0.6754846198499761
6,0.58039049138129
7,0.4396983451087026
8,0.5347311479438616
9,0.486728264028784
10,0.3657459186917557
11,0.2596403864708815
12,0.35791205800779213
13,0.17806971321730092
14,0.15281839418111937
15,0.1456706692410338
16,0.1108971335927628
17,0.10119368390806664
18,0.0881370308037751
19,0.07519809143838581
20,0.05977163685814868
21,0.0556658385555409
22,0.06030700161813765
23,0.061470434420399324
24,0.058857017776132864
25,0.05291081953150607
26,0.04417541234060993
27,0.036043047097710654
28,0.029425974677768543
29,0.024686847817252763
30,0.02148678893858687
31,0.0193401543512395
32,0.0178414016078585
33,0.01670993058484986
34,0.015779746310951234
35,0.01496979175292295
36,0.014250849660420005
37,0.013617787492090284
38,0.013071362931492855
39,0.012609338957329195
40,0.01222456078555621
41,0.011906392137688257
42,0.011642882210922413
43,0.011422864024906568
44,0.0112370287415236
45,0.010955829998475235
46,0.009861638326360299
47,0.008828792265509039
48,0.008200049861803019
49,0.0074379322423062735
50,0.00651401314803468
51,0.005776317089269038
52,0.005062953158920843
53,0.00428275378818013
54,0.00360334251640515
55,0.0029110984745870797
56,0.0022726242994809444
57,0.0016733257093810145
58,0.00130900332783958
59,0.0010819308849338767
60,0.0007603151510078053
61,0.0005533522653081318
62,0.0004173613773260917
63,0.00032330720269046614
64,0.0002554142339482748
65,0.00020471551464492334
66,0.0001658512466071487
67,0.00013544881033456598
68,0.00011128134586545732
69,9.181585846365478e-05
70,7.596049632155703e-05
71,6.291660574664763e-05
72,5.2226047560661285e-05
73,4.815827373654231e-05
74,4.4455395912006406e-05
75,4.108045316714861e-05
76,3.80006700387696e-05
77,3.518691268345037e-05
78,3.2613243754196055e-05
79,3.0256536476497398e-05
80,2.8096139713972528e-05
81,2.6113586790788386e-05
82,2.429234181196872e-05
83,2.261757902623096e-05
84,2.1075987039610097e-05
85,1.9655598291237164e-05
86,1.8345643229304406e-05
87,1.7136417616802264e-05
88,1.6019166008621072e-05
89,1.4985979805698633e-05
90,1.4029707239265325e-05
91,1.3143873767976022e-05
92,1.2322611583453045e-05
93,1.156059711453153e-05
94,1.0852995456867778e-05
95,1.0195411120915928e-05
96,9.583844074077742e-06
97,9.014650567393026e-06
98,8.48450825413029e-06
99,7.990384986812328e-06
100,7.5295109258279885e-06
101,7.0993535661146845e-06
102,6.697595355581658e-06
103,6.322113612734578e-06
104,5.9709624897790804e-06
105,5.6423567548723855e-06
106,5.334657195525348e-06
107,5.046357467924127e-06
108,4.776072237878498e-06
109,4.522526475423814e-06
110,4.284545782209921e-06
111,4.06104764316702e-06
112,3.851033508541563e-06
113,3.6535816193568655e-06
114,3.4678405012612156e-06
115,3.2930230604368376e-06
116,3.1284012199660142e-06
117,2.973301043463983e-06
118,2.827098299063854e-06
119,2.689214418919884e-06
120,2.5591128180646285e-06
121,2.436295536490266e-06
122,2.320300174424428e-06
123,2.210697093050786e-06
124,2.1070868556613777e-06
125,2.0090978871907468e-06
126,1.916384331227907e-06
127,1.8286240874088892e-06
128,1.7455170120960132e-06
129,1.666783267886883e-06
130,1.5921618085597492e-06
131,1.5214089874455927e-06
132,1.45429727832665e-06
133,1.3906140989780187e-06
134,1.330160728697997e-06
135,1.2727513109978689e-06
136,1.2182119350550898e-06
137,1.1663797887104513e-06
138,1.1171023770425212e-06
139,1.070236800919916e-06
140,1.0256490908238992e-06
141,9.832135911850276e-07
142,9.428123909144531e-07
143,9.043347967761159e-07
144,8.676768457392963e-07
145,8.327408533851895e-07
146,7.994349953848997e-07
147,7.676729195208777e-07
148,7.373733857189518e-07
149,7.084599319498152e-07
150,6.808605640719052e-07
151,6.545074676277426e-07
152,6.293367399186467e-07
153,6.052881409113177e-07
154,5.823048614899424e-07
155,5.603333076350655e-07
156,5.393228995876915e-07
157,5.192258846242143e-07
158,4.999971625809338e-07
159,4.815941231272177e-07
160,4.6397649400630726e-07
161,4.4710619932323996e-07
162,4.3094722726194026e-07
163,4.154655065254597e-07
164,4.0062879079987006e-07
165,3.8640655081838196e-07
166,3.727698733823431e-07
167,3.5969136681296554e-07
168,3.47145072598523e-07
169,3.351063824434053e-07
170,3.2355196076260915e-07
171,3.124596719564068e-07
172,3.0180851221131956e-07
173,2.915785455940191e-07
174,2.817508440361697e-07
175,2.72307431038585e-07
176,2.632312288544555e-07
177,2.5450600881144887e-07
178,2.4611634464013155e-07
179,2.380475686848445e-07
180,2.3028573060902251e-07
181,2.2281755871202446e-07
182,2.1563042340087193e-07
183,2.0871230284086616e-07
184,2.02051750658145e-07
185,1.956378654951541e-07
186,1.894602623077734e-07
187,1.8350904536068766e-07
188,1.7777478274100022e-07
189,1.7224848230793075e-07
190,1.6692156905479042e-07
191,1.6178586371312633e-07
192,1.568335625080145e-07
193,1.520572182210407e-07
194,1.474497220627705e-07
195,1.430042867305383e-07
196,1.3871443032518776e-07
197,1.345739611608185e-07
198,1.305769633758404e-07
199,1.26717783366856e-07
200,1.2299101695927932e-07
201,1.1939149718714358e-07
202,1.1591428281684175e-07
203,1.125546474308061e-07
204,1.0930806909792774e-07
205,1.06170220608716e-07
206,1.0313696017868059e-07
207,1.0020432267998505e-07
208,9.736851128794818e-08
209,9.46258896086927e-08
210,9.19729741665158e-08
211,8.940642729403212e-08
212,8.692305036427764e-08
213,8.45197774298758e-08
214,8.219366909153236e-08
215,7.994190674812584e-08
216,7.77617870873419e-08
217,7.565071688324543e-08
218,7.360620804514329e-08
219,7.162587286367664e-08
220,6.970741957804373e-08
221,6.784864808645097e-08
222,6.604744588408171e-08
223,6.430178424564933e-08
224,6.260971448865867e-08
225,6.096936453001252e-08
226,5.9378935519512426e-08
227,5.7836698716117275e-08
228,5.634099240721337e-08
229,5.489021907809453e-08
230,5.348284265579906e-08
231,5.21173858821497e-08
232,5.079242782516592e-08
233,4.950660154812227e-08
234,4.825859175366433e-08
235,4.704713269000656e-08
236,4.587100606628845e-08
237,4.472903909085297e-08
238,4.362010257676788e-08
239,4.2543109172418835e-08
240,4.149701161867523e-08
241,4.0480801117475135e-08
242,3.949350578617595e-08
243,3.8534189166673006e-08
244,3.7601948755267606e-08
245,3.6695914672615244e-08
246,3.581524837505388e-08
247,3.4959141347015016e-08
248,3.412681400301093e-08
249,3.331751443479526e-08
250,3.253051738591591e-08
251,3.1765123234183265e-08
252,3.102065690143462e-08
253,3.029646696677394e-08
254,2.9591924736904308e-08
255,2.8906423369930033e-08
256,2.8239377020231855e-08
257,2.759022004751055e-08
258,2.6958406221472953e-08
259,2.6343408038076633e-08
260,2.5744715937952274e-08
261,2.5161837704628678e-08
262,2.4594297743427243e-08
263,2.404163649659612e-08
264,2.3503409846003405e-08
265,2.2979188541396345e-08
266,2.2468557620914596e-08
267,2.1971115912373253e-08
268,2.148647550001132e-08
269,2.1014261295434725e-08
270,2.0554110493189998e-08
271,2.0105672157352413e-08
272,1.966860682762058e-08
273,1.9242586064875583e-08
274,1.8827292038207043e-08
275,1.8422417183534015e-08
276,1.8027663831314834e-08
277,1.764274383366909e-08
278,1.7267378238767857e-08
279,1.6901296967987848e-08
280,1.6544238499120923e-08
281,1.6195949578071858e-08
282,1.5856184906304146e-08
283,1.5524706886405415e-08
284,1.5201285342508985e-08
285,1.4885697272364125e-08
286,1.4577726585331425e-08
287,1.4277163873722749e-08
288,1.3983806187524079e-08
289,1.3697456812666387e-08
290,1.3417925045548225e-08
291,1.3145026019629533e-08
292,1.2878580469574869e-08
293,1.2618414580305055e-08
294,1.2364359760922687e-08
295,1.2116252521160678e-08
296,1.1873934278427072e-08
297,1.1637251151556898e-08
298,1.1406053889513656e-08
299,1.1180197640608157e-08
300,1.0959541879349414e-08
301,1.0743950182608032e-08
302,1.053329017252866e-08
303,1.032743333744619e-08
304,1.0126254934155501e-08
305,9.929633824801986e-09
306,9.737452415405394e-09
307,9.549596507449916e-09
308,9.365955186399235e-09
309,9.186420738969427e-09
310,9.010888533789883e-09
311,8.839256935347287e-09
312,8.671427179941956e-09
313,8.507303344765223e-09
314,8.346792190918452e-09
315,8.189803135752929e-09
316,8.036248116015672e-09
317,7.886041545303814e-09
318,7.739100247935042e-09
319,7.595343353455584e-09
320,7.454692221359632e-09
321,7.317070427053369e-09
322,7.182403625698848e-09
323,7.050619508939132e-09
324,6.921647792031067e-09
325,6.795420080479584e-09
326,6.6718698501377454e-09
327,6.550932401904197e-09
328,6.432544762077119e-09
329,6.316645696231425e-09
330,6.203175593113111e-09
331,6.092076430212507e-09
332,5.983291792761571e-09
333,5.876766706848482e-09
334,5.772447707473561e-09
335,5.670282733270369e-09
336,5.570221107484256e-09
337,5.472213481954147e-09
338,5.376211808212005e-09
339,5.282169309888034e-09
340,5.190040421835039e-09
341,5.0997807614339155e-09
342,5.011347123265649e-09
343,4.924697408044722e-09
344,4.83979060372142e-09
345,4.756586759462406e-09
346,4.675046945101026e-09
