iteration,exploitability
0,0.45833333333333326
1,0.25003941974140653
2,0.1339845997701155
3,0.16543274750055006
4,0.06509708676186454
5,0.09026336206990906
6,0.052591677847277585
7,0.03245846833971211
8,0.013570788379175275
9,0.022563070691552473
10,0.005695403679182837
11,0.0074159124732315895
12,0.002237153089131222
13,0.0042949780752782885
14,0.0008581263076321288
15,0.0012245943354821653
16,0.0004618122012753634
17,0.0008716251655087048
18,0.00015431147882674634
19,0.00019190637431937274
20,0.0001108998725601884
21,0.0001968345231128099
22,3.917568700181895e-05
23,2.446033985445406e-05
24,3.438429294760903e-05
25,4.797739664924583e-05
26,1.0605904304100688e-05
27,1.5641633320517823e-06
28,1.0864896968498794e-05
29,1.1999683306479492e-05
30,3.3575906602523187e-06
31,9.693718359404802e-07
32,3.302027192536583e-06
33,3.1548021019733863e-06
34,1.271791839396741e-06
35,5.917697872837024e-07
36,1.013866305354938e-06
37,8.995397798305937e-07
38,4.530878021657969e-07
39,2.601466170260025e-07
40,3.304711404528149e-07
41,2.760422762593251e-07
42,1.621381506000663e-07
43,1.1181420031536327e-07
44,1.1448832257232588e-07
45,9.206018694585261e-08
46,6.338052455090448e-08
47,4.7738082598058895e-08
48,4.2511767828212754e-08
49,3.410185311913949e-08
50,2.6300912642218677e-08
51,2.0475340339887182e-08
52,1.721222969708336e-08
53,1.4400232423161796e-08
54,1.1429757779124472e-08
55,9.208814877315064e-09
56,7.755523695474054e-09
57,6.462430618414672e-09
58,5.267219854721006e-09
59,4.356790150872314e-09
60,3.669462095290399e-09
61,3.0760372027316407e-09
62,2.5633997702279032e-09
63,2.15152437532673e-09
64,1.821719275429956e-09
65,1.542851735258921e-09
66,1.3041633883936754e-09
67,1.1070487582198751e-09
68,9.451650295755343e-10
69,8.076282420610426e-10
70,6.901245130919165e-10
71,5.917862033744115e-10
72,5.092152532970573e-10
73,4.386446206261496e-10
74,3.7835495847460265e-10
75,3.271970194784757e-10
76,2.835968404557576e-10
77,2.4617466398701993e-10
78,2.1403084859983323e-10
79,1.8644791266453353e-10
80,1.6272266867289886e-10
81,1.4223661137791055e-10
82,1.2451839559446398e-10
83,1.091903512051573e-10
84,9.590486738098036e-11
85,8.43577707687615e-11
86,7.430786541640089e-11
87,6.555303522226552e-11
88,5.7912535877946425e-11
89,5.123179658284016e-11
90,4.5382642088753755e-11
91,4.0255049293946854e-11
92,3.5753150440243076e-11
93,3.179465024594208e-11
94,2.830943812703879e-11
95,2.5236923661964283e-11
96,2.2524593301653795e-11
97,2.0127205457853847e-11
98,1.8005430479917095e-11
99,1.6125378810016855e-11
100,1.4457463004546867e-11
101,1.2975953644911442e-11
102,1.1658479737164384e-11
103,1.0485529111647907e-11
104,9.440254133963322e-12
105,8.507611282126959e-12
106,7.674555435599473e-12
107,6.929706808378455e-12
108,6.263045637666664e-12
109,5.665662383691483e-12
110,5.129979774309845e-12
111,4.649114426769074e-12
112,4.216987870009348e-12
113,3.828243277936849e-12
