iteration,exploitability
0,0.45833333333333326
1,0.25003941974140653
2,0.13693595443792286
3,0.13592790971841148
4,0.05707408294082353
5,0.06637162485643086
6,0.04992416108994238
7,0.08257774205398591
8,0.0316941098526827
9,0.029654938089409916
10,0.03148268674643295
11,0.02289445154753411
12,0.00923782178403773
13,0.024121419343336253
14,0.0178277965170808
15,0.010876563924980903
16,0.013942382242520479
17,0.0030256911185458923
18,0.006629720930231842
19,0.0025539323795802926
20,0.0036128980287427337
21,0.0016907756348427116
22,0.0011488866145160093
23,0.0013228691943425186
24,0.0002947594455511571
25,0.0005678974360056599
26,0.000246592172694432
27,0.00035596841582510863
28,0.0002427384143591782
29,0.00010880396477166987
30,0.00018944480701266198
31,4.235774429753314e-05
32,8.290536373814494e-05
33,4.228501893541181e-05
34,5.225603872108242e-05
35,2.441201080549682e-05
36,1.4047751223128513e-05
37,1.986203981088619e-05
38,4.752452771955573e-06
39,7.894339576902665e-06
40,4.651238472486163e-06
41,5.315069497885405e-06
42,3.8249799131917506e-06
43,1.4441676915999402e-06
44,3.0972608942025914e-06
45,5.063566306251488e-07
46,1.166910489375228e-06
47,7.973822292450805e-07
48,7.697500589709527e-07
49,3.609643371427218e-07
50,2.465970396492434e-07
51,3.3400745311218394e-07
52,7.131092841228259e-08
53,1.0327135735455073e-07
54,9.657959573750041e-08
55,8.87576804553536e-08
56,5.881807321750365e-08
57,3.6754637139368995e-08
58,5.2984324816485184e-08
59,1.2891271050641251e-08
60,2.7396274332458503e-08
61,1.8848214683453435e-08
62,1.0968507657693749e-08
63,5.998712637733661e-09
64,8.760932534990218e-09
65,8.625330200073833e-09
66,4.621272198246373e-09
67,3.7865785229573845e-09
68,2.7838664429236104e-09
69,2.9957828995286206e-09
70,3.151565980408222e-09
71,2.235305995856862e-09
72,1.368429924930581e-09
73,1.4902383771442373e-09
74,1.6263389246429227e-09
75,1.2426822626476763e-09
76,9.096760011928495e-10
77,8.544199514570749e-10
78,8.031009468556505e-10
79,6.874326663464103e-10
80,5.927423551987943e-10
81,5.09214698185545e-10
82,4.336782322145183e-10
83,3.9342268332021035e-10
84,3.602005638203565e-10
85,3.0634134118301404e-10
86,2.588571024197961e-10
87,2.3475735244637974e-10
88,2.138398902395977e-10
89,1.8609025431715054e-10
90,1.6184178996958565e-10
91,1.4459339281458483e-10
92,1.293913309829975e-10
93,1.1502374053229403e-10
94,1.0240289172180894e-10
95,9.0987078982252e-11
96,8.090594860732381e-11
97,7.261821699522386e-11
98,6.527570151071416e-11
99,5.822781146136435e-11
100,5.19841392154774e-11
101,4.6787795859870585e-11
102,4.2161191204925785e-11
103,3.7862740720484567e-11
104,3.403383130873294e-11
105,3.068653664506371e-11
106,2.7697066862231168e-11
107,2.5012464321960692e-11
108,2.260830411771053e-11
109,2.0443507997569554e-11
110,1.8503309995310246e-11
111,1.677638583608143e-11
112,1.5223572402689456e-11
113,1.381528225152806e-11
114,1.2547851646615982e-11
115,1.1412953915268531e-11
