iteration,exploitability
0,0.45833333333333326
1,0.45833333333333326
2,0.2583333333333333
3,0.10322681704260656
4,0.10537611337522726
5,0.06645421007541591
6,0.03692237678355792
7,0.03647880604952089
8,0.02702472689637067
9,0.026375068573034538
10,0.020206572052790195
11,0.014090591523188173
12,0.011633192158951755
13,0.009400962739002094
14,0.007399198250803429
15,0.0067946735659979995
16,0.004787573171294662
17,0.004940718666383848
18,0.0034576358203621815
19,0.003559603313130738
20,0.002639591067192998
21,0.0025743733620084697
22,0.002006945590112552
23,0.0019035125691868326
24,0.001552801442226942
25,0.0014538708047517335
26,0.001231582001784387
27,0.0011459181217077508
28,0.0009981542972694046
29,0.0009251781092284306
30,0.0008213627362116949
31,0.0007594318460302785
32,0.0006830000679069193
33,0.0006308814385788675
34,0.000572769518515065
35,0.0005293714025856877
36,0.00048424065956761964
37,0.00044837574731595997
38,0.0004127518096747329
39,0.000383171513035796
40,0.0003546274862752108
41,0.00033015681161249755
42,0.0003069521936089614
43,0.0002865871475388193
44,0.00026747060882051366
45,0.0002504046043048658
46,0.00023447471589896351
47,0.00022007725572503745
48,0.0002066761718745036
49,0.0001944553035234109
50,0.0001830917365726603
51,0.00017265936553387262
52,0.00016295693976353665
53,0.00015400303192938947
54,0.00014566730529366745
55,0.0001379420259371711
56,0.00013073934826510203
57,0.00012404039895758112
58,0.00011778361155373451
59,0.00011194663990418685
60,0.00010648471900820411
61,0.00010137568882293002
62,9.658589623504077e-05
63,9.20949449845776e-05
64,8.787678996383108e-05
65,8.391333840349069e-05
66,8.018394013975527e-05
67,7.667285464760254e-05
68,7.336338939042952e-05
69,7.024199035443601e-05
70,6.729495833115995e-05
71,6.451068085622236e-05
72,6.187778149199796e-05
73,5.9386329492566725e-05
74,5.702678807650852e-05
75,5.479066292227164e-05
76,5.266989778018871e-05
77,5.0657216020905116e-05
78,4.874576809041353e-05
79,4.692930612976154e-05
80,4.5201974238406883e-05
81,4.355839311634413e-05
82,4.199353207506862e-05
83,4.050274585082336e-05
84,3.908169399735595e-05
85,3.772635284757242e-05
86,3.643296282598851e-05
87,3.5198027996119485e-05
88,3.401828018742559e-05
89,3.289067278383628e-05
90,3.181235526050763e-05
91,3.078066471279284e-05
92,2.9793107054670864e-05
93,2.8847348070598633e-05
94,2.794119904048209e-05
95,2.7072608172834522e-05
96,2.6239649289994116e-05
97,2.544051401145997e-05
98,2.4673502637767575e-05
99,2.3937017201935973e-05
100,2.3229553989756457e-05
101,2.2549697451024198e-05
102,2.1896113977626364e-05
103,2.1267546609610166e-05
104,2.0662809804172788e-05
105,2.0080784851550515e-05
106,1.9520415441481864e-05
107,1.8980703698961987e-05
108,1.8460706403461424e-05
109,1.7959531560862718e-05
110,1.747633516241409e-05
111,1.7010318218102505e-05
112,1.6560723966163593e-05
113,1.612683530238801e-05
114,1.570797236893906e-05
115,1.5303490321944002e-05
116,1.4912777242137576e-05
117,1.4535252192832138e-05
118,1.4170363402371544e-05
119,1.3817586572872909e-05
120,1.3476423295494255e-05
121,1.3146399571839495e-05
122,1.2827064430398494e-05
123,1.2517988632138044e-05
124,1.221876345805506e-05
125,1.1928999574084553e-05
126,1.1648325966784334e-05
127,1.1376388945161242e-05
128,1.1112851204642116e-05
129,1.085739094819349e-05
130,1.060970106087078e-05
131,1.0369488333827892e-05
132,1.0136472735511326e-05
133,9.910386726208475e-06
134,9.690974611981096e-06
135,9.477991937817398e-06
136,9.271204915589637e-06
137,9.070389884180408e-06
138,8.87533280233277e-06
139,8.685828768562054e-06
140,8.501681569766939e-06
141,8.322703253738073e-06
142,8.14871372681325e-06
143,7.979540372654581e-06
144,7.815017693202364e-06
145,7.654986967975397e-06
146,7.499295932633654e-06
147,7.347798474666156e-06
148,7.200354345621163e-06
149,7.056828887741506e-06
150,6.917092776309586e-06
151,6.781021774621143e-06
152,6.648496501698853e-06
153,6.519402212884495e-06
154,6.3936285904786505e-06
155,6.271069546315289e-06
156,6.151623033329168e-06
157,6.035190867420548e-06
158,5.921678557757604e-06
159,5.81099514582184e-06
160,5.703053052225071e-06
161,5.597767931075914e-06
162,5.495058531757024e-06
163,5.394846567058353e-06
164,5.297056587832971e-06
165,5.201615863786868e-06
166,5.10845426990314e-06
167,5.017504177889931e-06
168,4.928700353512561e-06
169,4.8419798579224516e-06
170,4.75728195437064e-06
171,4.674548018474001e-06
172,4.593721453033384e-06
173,4.514747607153868e-06
174,4.43757369797404e-06
175,4.362148737085958e-06
176,4.28842345956415e-06
177,4.216350256325274e-06
178,4.14588310962416e-06
179,4.076977531547454e-06
180,4.009590504477911e-06
181,3.943680425250173e-06
182,3.879207051221689e-06
183,3.816131447870186e-06
184,3.754415940332434e-06
185,3.694024065831192e-06
186,3.634920528128305e-06
187,3.5770711546423417e-06
188,3.520442854620942e-06
189,3.4650035795613654e-06
190,3.4107222851020857e-06
191,3.357568894385432e-06
192,3.305514263196585e-06
193,3.2545301465458643e-06
194,3.204589165778371e-06
195,3.155664778875522e-06
196,3.107731249368806e-06
197,3.0607636194446286e-06
198,3.0147376814670945e-06
199,2.9696299522208314e-06
200,2.9254176478477056e-06
201,2.8820786596717163e-06
202,2.839591530245933e-06
203,2.797935432535814e-06
204,2.7570901469653464e-06
205,2.7170360415718076e-06
206,2.6777540523548193e-06
207,2.639225663403355e-06
208,2.6014328894374827e-06
209,2.564358257767241e-06
210,2.5279847912507147e-06
211,2.4922959921680476e-06
212,2.457275826400762e-06
213,2.422908708471505e-06
214,2.3891794866393035e-06
215,2.35607342893851e-06
216,2.323576210327971e-06
217,2.2916738985356844e-06
218,2.2603529424847224e-06
219,2.229600159636691e-06
220,2.1994027245841874e-06
221,2.1697481579763256e-06
222,2.140624315027928e-06
223,2.1120193760548744e-06
224,2.0839218354828937e-06
225,2.0563204926604683e-06
226,2.029204442033361e-06
227,2.0025630650954973e-06
228,1.9763860202581807e-06
229,1.950663235439354e-06
230,1.9253848995148815e-06
231,1.9005414547135224e-06
232,1.8761235885955685e-06
233,1.852122227197217e-06
234,1.8285285274810548e-06
235,1.8053338711743194e-06
236,1.7825298572193837e-06
237,1.7601082963336623e-06
238,1.73806120418174e-06
239,1.716380795574457e-06
240,1.6950594789733042e-06
241,1.674089850467464e-06
242,1.6534646884724946e-06
243,1.6331769489008607e-06
244,1.6132197596940845e-06
245,1.5935864160487867e-06
246,1.5742703757259946e-06
247,1.5552652543604495e-06
248,1.5365648212140037e-06
249,1.5181629947624842e-06
250,1.5000538386988893e-06
251,1.4822315574647416e-06
252,1.4646904929194182e-06
253,1.4474251201768151e-06
254,1.4304300441914108e-06
255,1.4136999961777974e-06
256,1.3972298298914332e-06
257,1.3810145186587963e-06
258,1.3650491521299823e-06
259,1.3493289329202796e-06
260,1.3338491737235891e-06
261,1.3186052943980897e-06
262,1.303592819107413e-06
263,1.2888073735728423e-06
264,1.2742446822977538e-06
265,1.259900566014105e-06
266,1.2457709392676986e-06
267,1.2318518080867147e-06
268,1.2181392669285973e-06
269,1.20462949726452e-06
270,1.1913187648870949e-06
271,1.1782034176621714e-06
272,1.1652798838357459e-06
273,1.1525446696192265e-06
274,1.1399943570244986e-06
275,1.127625602642679e-06
276,1.1154351352571368e-06
277,1.1034197538728474e-06
278,1.091576326384125e-06
279,1.079901787881532e-06
280,1.0683931384591894e-06
281,1.0570474421045528e-06
282,1.0458618248387896e-06
283,1.0348334733567555e-06
284,1.023959633528193e-06
285,1.0132376087879091e-06
286,1.0026647588867732e-06
287,9.922384985316945e-07
288,9.819562959145767e-07
289,9.718156717131166e-07
290,9.618141973144478e-07
291,9.519494943155404e-07
292,9.422192325803103e-07
293,9.326211296845077e-07
294,9.231529493058943e-07
295,9.138125006413755e-07
296,9.045976370192221e-07
297,8.955062547333359e-07
298,8.865362924881381e-07
299,8.77685729816502e-07
300,8.689525866634185e-07
301,8.603349224423074e-07
302,8.518308345362158e-07
303,8.434384579647514e-07
304,8.351559644959039e-07
305,8.269815615913334e-07
306,8.189134916014584e-07
307,8.10950031376878e-07
308,8.03089490686304e-07
309,7.953302124108497e-07
310,7.876705710729848e-07
311,7.801089724757126e-07
