iteration,exploitability
0,0.45833333333333326
1,0.45833333333333326
2,0.2512626262626263
3,0.10857402489531598
4,0.11123478848039584
5,0.04100981304293286
6,0.087500536757322
7,0.10040590854989459
8,0.026060519780931657
9,0.028813365687442666
10,0.029481232823616754
11,0.015248996054083253
12,0.02792404490168271
13,0.010723370545999533
14,0.010853076101255826
15,0.006017175251694984
16,0.004778108969728384
17,0.004150641464736232
18,0.0027280491544890706
19,0.0027871183799204613
20,0.0018360328420296834
21,0.0017609443333566344
22,0.0011823505998415085
23,0.0010516345486571987
24,0.0007529246709349902
25,0.0006105050429935366
26,0.00046063321022110637
27,0.00035943217636347224
28,0.0002654428702724698
29,0.00022312298885318604
30,0.0001546573359682557
31,0.00014776669972038636
32,9.505452822897165e-05
33,0.00010249103069664978
34,6.735535458321507e-05
35,7.249143738535802e-05
36,4.901207564408927e-05
37,5.1474745272811484e-05
38,3.543724729829223e-05
39,3.664402895917074e-05
40,2.583154686278122e-05
41,2.633057154668994e-05
42,1.894861681495108e-05
43,1.9238751322286918e-05
44,1.4108721439337613e-05
45,1.4339173787875081e-05
46,1.0731372264954908e-05
47,1.0884941838457118e-05
48,8.321019598411805e-06
49,8.384213983275712e-06
50,6.539594749110922e-06
51,6.5316960654870915e-06
52,5.184825968396201e-06
53,5.1379893377667685e-06
54,4.13876286367576e-06
55,4.0791692217934106e-06
56,3.3587085639941172e-06
57,3.2684272605332243e-06
58,2.7471518603827683e-06
59,2.642327889379459e-06
60,2.2600557978147418e-06
61,2.1540927331864523e-06
62,1.8696954303953905e-06
63,1.7694789193611893e-06
64,1.5548054310421389e-06
65,1.4635735568202524e-06
66,1.2992568118874726e-06
67,1.218185812362771e-06
68,1.0907632354006935e-06
69,1.0198616065548727e-06
70,9.198438835067435e-07
71,8.584861562188628e-07
72,7.790864475498704e-07
73,7.263449641470299e-07
74,6.62644677074109e-07
75,6.174931196090139e-07
76,5.658861138013727e-07
77,5.273161108321212e-07
78,4.851299044150714e-07
79,4.5221019517871497e-07
80,4.1744269410615154e-07
81,3.8934320989447713e-07
82,3.6047763413149525e-07
83,3.364741715805586e-07
84,3.1234828085091593e-07
85,2.918175135979695e-07
86,2.715308405898398e-07
87,2.539410901003514e-07
88,2.3678870891830073e-07
89,2.2168926053223181e-07
90,2.0711402357043163e-07
91,1.9412437474164435e-07
92,1.8168204560242707e-07
93,1.7048178588274787e-07
94,1.5981527132225004e-07
95,1.5013493681603762e-07
96,1.4095502720579134e-07
97,1.3256806594141857e-07
98,1.246388973696888e-07
99,1.1735475105578708e-07
100,1.104827318243462e-07
101,1.0414095896749131e-07
102,9.816625781700061e-08
103,9.263158887162781e-08
104,8.742153601026814e-08
105,8.257973332925772e-08
106,7.802365928344379e-08
107,7.377806554575983e-08
108,6.978323197071035e-08
109,6.605189695196856e-08
110,6.254026227447973e-08
111,5.9253554757221494e-08
112,5.6159188327464804e-08
113,5.325781093912241e-08
114,5.052480922529412e-08
115,4.795814920188768e-08
116,4.553894805692238e-08
117,4.326370467433449e-08
118,4.111770568471229e-08
119,3.909674817226261e-08
120,3.718919236450624e-08
121,3.5390607083796155e-08
122,3.3691649775624555e-08
123,3.20879442461397e-08
124,3.057189024158191e-08
125,2.9139327090144107e-08
126,2.7783995687480356e-08
127,2.6502034400355257e-08
128,2.528823131453528e-08
129,2.4139058640848532e-08
130,2.3050134273505662e-08
131,2.2018269374424193e-08
132,2.103974805489628e-08
133,2.0111708742831524e-08
134,1.9230977255091375e-08
135,1.8394998413384656e-08
136,1.760104309522781e-08
137,1.6846836980999313e-08
138,1.613002098554972e-08
139,1.5448574808285542e-08
140,1.4800449199547927e-08
141,1.4183851759774768e-08
142,1.359699508540757e-08
143,1.30382895313641e-08
144,1.2506170626869206e-08
145,1.1999228277659313e-08
146,1.1516088832541627e-08
147,1.1055501264456424e-08
148,1.0616255818884923e-08
149,1.019724193973559e-08
150,9.79739150919201e-09
151,9.415717677763169e-09
152,9.051275590143959e-09
153,8.70318719869978e-09
154,8.37061472913625e-09
155,8.052776584444032e-09
156,7.748928221307239e-09
157,7.458372808244462e-09
158,7.18044787517691e-09
159,6.914531613944064e-09
160,6.6600329973187655e-09
161,6.416396580721795e-09
162,6.183094702905123e-09
163,5.9596301782427474e-09
164,5.745531134193627e-09
165,5.540352204791432e-09
166,5.343670700375114e-09
167,5.1550873014782894e-09
168,4.9742226448934446e-09
169,4.800718211850352e-09
170,4.6342334414362085e-09
171,4.474445758351209e-09
172,4.32104890757401e-09
173,4.173752538028097e-09
174,4.03228095358088e-09
175,3.896372224865274e-09
176,3.765777883968369e-09
177,3.6402619252307034e-09
178,3.519599528489792e-09
179,3.403577669702784e-09
180,3.2919934278563545e-09
181,3.184653846188823e-09
182,3.081375488100946e-09
183,2.981983632244223e-09
184,2.8863119116984137e-09
185,2.7942022029492364e-09
186,2.705503709954371e-09
187,2.6200727698544313e-09
188,2.5377724921504807e-09
189,2.4584725921705797e-09
190,2.382048586158092e-09
191,2.308381957805139e-09
192,2.2373595476299357e-09
193,2.1688735252212155e-09
194,2.102820778615566e-09
195,2.0391029975641572e-09
196,1.9776265347548616e-09
197,1.918301434367109e-09
198,1.8610423480058813e-09
199,1.80576728570081e-09
200,1.7523980877509615e-09
201,1.7008601194135053e-09
202,1.6510818823256557e-09
203,1.60299495899352e-09
204,1.5565341238144015e-09
205,1.5116366769429845e-09
206,1.4682428883805443e-09
207,1.4262955816413125e-09
208,1.3857396896632679e-09
209,1.3465228654307992e-09
210,1.3085947325741643e-09
211,1.271907190680821e-09
212,1.2364141099840964e-09
213,1.2020710815630054e-09
214,1.1688359446981877e-09
215,1.1366678431823374e-09
216,1.1055278914540168e-09
217,1.075378674997296e-09
218,1.0461843613640553e-09
219,1.0179107001739851e-09
220,9.90524273714044e-10
221,9.639937736949378e-10
222,9.38288530205611e-10
223,9.133794276472429e-10
224,8.892384328884617e-10
225,8.658385119986178e-10
226,8.431539633146912e-10
227,8.211596957963252e-10
228,7.998318118929149e-10
229,7.791475520324553e-10
230,7.590846007321517e-10
231,7.396217249766579e-10
232,7.207386631957746e-10
233,7.024157366863903e-10
234,6.846337941013303e-10
235,6.673748775831712e-10
236,6.506214178525482e-10
237,6.343565672750628e-10
238,6.185641443501311e-10
239,6.032285504442569e-10
240,5.883346587687299e-10
241,5.738680086686543e-10
242,5.598146390894954e-10
243,5.461612551105333e-10
244,5.328947283445018e-10
245,5.200026242935252e-10
246,5.07472980304513e-10
247,4.952941667912825e-10
248,4.834548594789823e-10
249,4.719444834933029e-10
250,4.6075263049338844e-10
251,4.498690864274124e-10
252,4.3928435888851425e-10
253,4.2898903873656025e-10
254,4.1897416092062656e-10
255,4.092308991676674e-10
256,3.9975092680499813e-10
257,3.9052633349356825e-10
258,3.815490423608736e-10
259,3.728116704238005e-10
260,3.6430675143250824e-10
261,3.56027346493093e-10
262,3.4796662773395326e-10
263,3.401180170836682e-10
264,3.324752417821486e-10
265,3.250320290693054e-10
266,3.1778246700753243e-10
267,3.107208934594041e-10
268,3.038417017986461e-10
269,2.971395629547402e-10
270,2.906092033683194e-10
271,2.84245765813651e-10
272,2.780442265315486e-10
273,2.7199997809645993e-10
274,2.6610846859398407e-10
275,2.6036528488759814e-10
276,2.5476623588538416e-10
277,2.4930710273984857e-10
278,2.439840274259808e-10
279,2.387930408964678e-10
280,2.337304516597527e-10
281,2.2879259597985424e-10
282,2.239760599209717e-10
283,2.1927745730287995e-10
284,2.1469342970092953e-10
285,2.10220757468349e-10
286,2.0585635973624505e-10
287,2.0159748870263172e-10
288,1.9744098023188883e-10
289,1.9338405876645481e-10
290,1.894240875266462e-10
291,1.855584574883551e-10
292,1.8178444860517118e-10
293,1.7809972940874275e-10
294,1.7450188516399123e-10
295,1.709885288914137e-10
296,1.6755741238938526e-10
297,1.642063429674323e-10
298,1.6093323895738365e-10
299,1.577359631799169e-10
300,1.5461257274473894e-10
301,1.5156109700598108e-10
302,1.4857959307335022e-10
303,1.4566645112346066e-10
304,1.4281958948814122e-10
305,1.400374260995818e-10
306,1.3731837888997234e-10
307,1.346606715024734e-10
