lam,beta,gamma,alpha,final_exploitability
0.01,0.01,5.0,2.0,0.006863939926662055
0.01,0.1,5.0,2.0,0.0059234046273989645
0.01,0.2,5.0,2.0,0.005475609431683676
0.01,0.3,5.0,2.0,0.005327599324689697
0.01,0.4,5.0,2.0,0.00499418459413038
0.01,0.5,5.0,2.0,0.004521961450493539
0.01,0.6,5.0,2.0,0.004275089202142241
0.01,0.7,5.0,2.0,0.004627962873783082
0.01,0.8,5.0,2.0,0.004304463724155094
0.01,0.9,5.0,2.0,0.0054833711907126435
0.01,0.99,5.0,2.0,0.00445932990658654
0.1,0.01,5.0,2.0,0.006352170067864399
0.1,0.1,5.0,2.0,0.003027195988602649
0.1,0.2,5.0,2.0,0.0015574814363914558
0.1,0.3,5.0,2.0,0.00192551667624678
0.1,0.4,5.0,2.0,0.0016515999560697604
0.1,0.5,5.0,2.0,0.0014513919714868983
0.1,0.6,5.0,2.0,0.0015340166704185532
0.1,0.7,5.0,2.0,0.0012065194516281963
0.1,0.8,5.0,2.0,0.0008205077443406595
0.1,0.9,5.0,2.0,0.0016266112989290315
0.1,0.99,5.0,2.0,0.0008960256691899815
0.2,0.01,5.0,2.0,0.006480319050271188
0.2,0.1,5.0,2.0,0.0016063734165664533
0.2,0.2,5.0,2.0,0.0007212703034804146
0.2,0.3,5.0,2.0,0.0005875286025260551
0.2,0.4,5.0,2.0,0.00027552177736223094
0.2,0.5,5.0,2.0,0.0005086725728043861
0.2,0.6,5.0,2.0,0.0009173269650118332
0.2,0.7,5.0,2.0,0.0012775896960092125
0.2,0.8,5.0,2.0,0.000719836035285748
0.2,0.9,5.0,2.0,0.0009171596160812811
0.2,0.99,5.0,2.0,0.0010007639910249277
0.3,0.01,5.0,2.0,0.005679605306973578
0.3,0.1,5.0,2.0,0.0006180139796956308
0.3,0.2,5.0,2.0,0.00022892119412002977
0.3,0.3,5.0,2.0,0.000155674327991584
0.3,0.4,5.0,2.0,0.0002792064023796781
